sentence1,sentence2,label
অতিরিক্ত এটর্নি জেনারেল মমতাজ উদ্দিনের পদত্যাগ,মৌলভীবাজার জুড়ে উচ্ছ্বাস,0
মৌলভীবাজার জুড়ে উচ্ছ্বাস,অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ ও মোমতাজ পদত্যাগপত্র দিয়েছেন,0
দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,পদত্যাগ করলেন দুই অতিরিক্ত অ্যাটর্নি জেনারেল,1
দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,দুই অতিরিক্ত অ্যাটর্নি জেনারেলের পদত্যাগ,1
দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মোমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,1
দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,অ্যাটর্নি জেনারেলের দায়িত্ব নিলেন আমিন উদ্দিন,0
পদত্যাগ করলেন দুই অতিরিক্ত অ্যাটর্নি জেনারেল,দুই অতিরিক্ত অ্যাটর্নি জেনারেলের পদত্যাগ,1
পদত্যাগ করলেন দুই অতিরিক্ত অ্যাটর্নি জেনারেল,দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মোমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,1
পদত্যাগ করলেন দুই অতিরিক্ত অ্যাটর্নি জেনারেল,অ্যাটর্নি জেনারেলের দায়িত্ব নিলেন আমিন উদ্দিন,0
দুই অতিরিক্ত অ্যাটর্নি জেনারেলের পদত্যাগ,দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মোমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,1
দুই অতিরিক্ত অ্যাটর্নি জেনারেলের পদত্যাগ,অ্যাটর্নি জেনারেলের দায়িত্ব নিলেন আমিন উদ্দিন,0
দুই অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ রেজা ও মো. মোমতাজ উদ্দিন ফকির পদত্যাগ করেছেন।,অ্যাটর্নি জেনারেলের দায়িত্ব নিলেন আমিন উদ্দিন,0
শনিবার বসছে পদ্মা সেতুর ৩২তম স্প্যান,"৪ মাস পর স্প্যান বসছে, বঙ্গবন্ধু সেতুর সমান হবে পদ্মাসেতু",0
শনিবার বসছে পদ্মা সেতুর ৩২তম স্প্যান,পদ্মাসেতুর ৩২তম স্প্যান বসছে ১০ অক্টোবর,1
শনিবার বসছে পদ্মা সেতুর ৩২তম স্প্যান,পদ্মা সেতুর ৩২তম স্প্যান বসতে পারে কাল,1
"৪ মাস পর স্প্যান বসছে, বঙ্গবন্ধু সেতুর সমান হবে পদ্মাসেতু",পদ্মা সেতুর ৩২তম স্প্যান বসতে পারে আজ,0
"৪ মাস পর স্প্যান বসছে, বঙ্গবন্ধু সেতুর সমান হবে পদ্মাসেতু",পদ্মাসেতুর ৩২তম স্প্যান বসছে ১০ অক্টোবর,0
"৪ মাস পর স্প্যান বসছে, বঙ্গবন্ধু সেতুর সমান হবে পদ্মাসেতু",পদ্মা সেতুর ৩২তম স্প্যান বসতে পারে কাল,0
পদ্মা সেতুর ৩২তম স্প্যান বসতে পারে আজ,পদ্মাসেতুর ৩২তম স্প্যান বসছে ১০ অক্টোবর,0
পদ্মা সেতুর ৩২তম স্প্যান বসতে পারে আজ,পদ্মা সেতুর ৩২তম স্প্যান বসতে পারে কাল,0
স্রোতের কারণে বসানো যায়নি পদ্মা সেতুর ৩২ নম্বর স্প্যান,বসল পদ্মা সেতুর ৩২তম স্প্যান,0
স্রোতের কারণে বসানো যায়নি পদ্মা সেতুর ৩২ নম্বর স্প্যান,তীব্র স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,1
স্রোতের কারণে বসানো যায়নি পদ্মা সেতুর ৩২ নম্বর স্প্যান,শনিবার বসবে পদ্মা সেতুর ৩২তম স্প্যান,0
পদ্মা সেতুর ৩২তম স্প্যান বসানো যায়নি আজ,বসল পদ্মা সেতুর ৩২তম স্প্যান,0
পদ্মা সেতুর ৩২তম স্প্যান বসানো যায়নি আজ,তীব্র স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,1
পদ্মা সেতুর ৩২তম স্প্যান বসানো যায়নি আজ,শনিবার বসবে পদ্মা সেতুর ৩২তম স্প্যান,0
বসল পদ্মা সেতুর ৩২তম স্প্যান,তীব্র স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,0
বসল পদ্মা সেতুর ৩২তম স্প্যান,শনিবার বসবে পদ্মা সেতুর ৩২তম স্প্যান,0
তীব্র স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,শনিবার বসবে পদ্মা সেতুর ৩২তম স্প্যান,0
৩২তম স্প্যান বসানোর পর পদ্মা সেতুর ৪.৮০ কিলোমিটার দৃশ্যমান,শনিবার বসানো গেলো না পদ্মা সেতুর ৩২তম স্প্যান,0
৩২তম স্প্যান বসানোর পর পদ্মা সেতুর ৪.৮০ কিলোমিটার দৃশ্যমান,চার মাস পর পদ্মা সেতুতে স্প্যান বসছে আজ,0
৩২তম স্প্যান বসানোর পর পদ্মা সেতুর ৪.৮০ কিলোমিটার দৃশ্যমান,চার মাস পর পদ্মা সেতুতে বসছে ৩২তম স্প্যান,0
শনিবার বসানো গেলো না পদ্মা সেতুর ৩২তম স্প্যান,চার মাস পর পদ্মা সেতুতে স্প্যান বসছে আজ,0
শনিবার বসানো গেলো না পদ্মা সেতুর ৩২তম স্প্যান,চার মাস পর পদ্মা সেতুতে বসছে ৩২তম স্প্যান,0
চার মাস পর পদ্মা সেতুতে স্প্যান বসছে আজ,চার মাস পর পদ্মা সেতুতে বসছে ৩২তম স্প্যান,1
চার মাস পর পদ্মা সেতুতে বসছে নতুন স্প্যান,তীব্র স্রোতের কারণে বসানো গেল না পদ্মা সেতুর ৩২ নম্বর স্প্যান,0
চার মাস পর পদ্মা সেতুতে বসছে নতুন স্প্যান,দৃশ্যমান হলো প্রায় ৫ কিলোমিটার পদ্মা সেতু,0
চার মাস পর পদ্মা সেতুতে বসছে নতুন স্প্যান,মহামারি করোনার মধ্য যখন থমকে আছে সব কিছু তখনও থেমে নেই পদ্মা সেতু প্রকল্পের কাজ।,0
চার মাস পর পদ্মা সেতুতে বসছে নতুন স্প্যান,প্রচণ্ড স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,0
তীব্র স্রোতের কারণে বসানো গেল না পদ্মা সেতুর ৩২ নম্বর স্প্যান,দৃশ্যমান হলো প্রায় ৫ কিলোমিটার পদ্মা সেতু,0
তীব্র স্রোতের কারণে বসানো গেল না পদ্মা সেতুর ৩২ নম্বর স্প্যান,মহামারি করোনার মধ্য যখন থমকে আছে সব কিছু তখনও থেমে নেই পদ্মা সেতু প্রকল্পের কাজ।,0
তীব্র স্রোতের কারণে বসানো গেল না পদ্মা সেতুর ৩২ নম্বর স্প্যান,প্রচণ্ড স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,1
দৃশ্যমান হলো প্রায় ৫ কিলোমিটার পদ্মা সেতু,মহামারি করোনার মধ্য যখন থমকে আছে সব কিছু তখনও থেমে নেই পদ্মা সেতু প্রকল্পের কাজ।,0
দৃশ্যমান হলো প্রায় ৫ কিলোমিটার পদ্মা সেতু,প্রচণ্ড স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,0
মহামারি করোনার মধ্য যখন থমকে আছে সব কিছু তখনও থেমে নেই পদ্মা সেতু প্রকল্পের কাজ।,প্রচণ্ড স্রোতে বসানো গেল না পদ্মা সেতুর ৩২তম স্প্যান,0
৪ মাস পর বসল পদ্মা সেতুর ৩২তম স্প্যান,৩২তম স্প্যানে দৃশ্যমান পদ্মা সেতুর ৪৮০০ মিটার,0
৪ মাস পর বসল পদ্মা সেতুর ৩২তম স্প্যান,পদ্মা সেতুর স্প্যান বসানো স্থগিত,0
৪ মাস পর বসল পদ্মা সেতুর ৩২তম স্প্যান,তীব্র স্রোতে বসানো গেল না ৩২তম স্প্যান,0
৪ মাস পর বসল পদ্মা সেতুর ৩২তম স্প্যান,পদ্মা সেতুর ৩২তম স্প্যান বসছে আজ,0
৩২তম স্প্যানে দৃশ্যমান পদ্মা সেতুর ৪৮০০ মিটার,পদ্মা সেতুর স্প্যান বসানো স্থগিত,0
৩২তম স্প্যানে দৃশ্যমান পদ্মা সেতুর ৪৮০০ মিটার,তীব্র স্রোতে বসানো গেল না ৩২তম স্প্যান,0
৩২তম স্প্যানে দৃশ্যমান পদ্মা সেতুর ৪৮০০ মিটার,পদ্মা সেতুর ৩২তম স্প্যান বসছে আজ,0
পদ্মা সেতুর স্প্যান বসানো স্থগিত,পদ্মা সেতুর ৩২তম স্প্যান বসছে আজ,0
তীব্র স্রোতে বসানো গেল না ৩২তম স্প্যান,পদ্মা সেতুর ৩২তম স্প্যান বসছে আজ,0
ঘরে ঢুকে প্রবাসীর স্ত্রীকে ধর্ষণ মামলায় যুবলীগ নেতা রিমান্ডে,চাচিকে ধর্ষণের অভিযোগে গ্রেপ্তার যুবলীগ নেতার বাড়ি থেকে অস্ত্র-গুলি উদ্ধার,0
ঘরে ঢুকে প্রবাসীর স্ত্রীকে ধর্ষণ মামলায় যুবলীগ নেতা রিমান্ডে,প্রবাসীর স্ত্রীকে ধর্ষণ: দুই মামলায় যুবলীগ নেতা ৪ দিনের রিমান্ডে,1
ঘরে ঢুকে প্রবাসীর স্ত্রীকে ধর্ষণ মামলায় যুবলীগ নেতা রিমান্ডে,নোয়াখালীতে সেই যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
চাচিকে ধর্ষণের অভিযোগে গ্রেপ্তার যুবলীগ নেতার বাড়ি থেকে অস্ত্র-গুলি উদ্ধার,প্রবাসীর স্ত্রীকে ধর্ষণ: দুই মামলায় যুবলীগ নেতা ৪ দিনের রিমান্ডে,0
চাচিকে ধর্ষণের অভিযোগে গ্রেপ্তার যুবলীগ নেতার বাড়ি থেকে অস্ত্র-গুলি উদ্ধার,চাটখিলে গৃহবধূ ধর্ষণ ও ভিডিও ধারণ: শরীফ ৪ দিনের রিমান্ডে,0
প্রবাসীর স্ত্রীকে ধর্ষণ: দুই মামলায় যুবলীগ নেতা ৪ দিনের রিমান্ডে,নোয়াখালীতে সেই যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
চাটখিলে গৃহবধূ ধর্ষণ ও ভিডিও ধারণ: শরীফ ৪ দিনের রিমান্ডে,নোয়াখালীতে সেই যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
নোয়াখালীতে চাচিক ধর্ষণে অভিযুক্ত যুবলীগ নেতার ৪ দিনের রিমান্ড,গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,0
নোয়াখালীতে চাচিক ধর্ষণে অভিযুক্ত যুবলীগ নেতার ৪ দিনের রিমান্ড,ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতার বাড়িতে মিলল আগ্নেয়াস্ত্র,0
নোয়াখালীতে চাচিক ধর্ষণে অভিযুক্ত যুবলীগ নেতার ৪ দিনের রিমান্ড,এবার নোয়াখালীতে শিশু সন্তানের সামনে মাকে ধর্ষণ,0
নোয়াখালীতে চাচিক ধর্ষণে অভিযুক্ত যুবলীগ নেতার ৪ দিনের রিমান্ড,আটক যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতার বাড়িতে মিলল আগ্নেয়াস্ত্র,1
গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,এবার নোয়াখালীতে শিশু সন্তানের সামনে মাকে ধর্ষণ,0
গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,আটক যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,1
ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতার বাড়িতে মিলল আগ্নেয়াস্ত্র,এবার নোয়াখালীতে শিশু সন্তানের সামনে মাকে ধর্ষণ,0
এবার নোয়াখালীতে শিশু সন্তানের সামনে মাকে ধর্ষণ,আটক যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
"অস্ত্রের মুখে প্রবাসীর স্ত্রী 'ধর্ষণ', যুবলীগ নেতা রিমান্ডে",ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতা ৪ দিনের রিমান্ডে,1
"অস্ত্রের মুখে প্রবাসীর স্ত্রী 'ধর্ষণ', যুবলীগ নেতা রিমান্ডে","অস্ত্রের মুখে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা রিমান্ডে",1
"অস্ত্রের মুখে প্রবাসীর স্ত্রী 'ধর্ষণ', যুবলীগ নেতা রিমান্ডে",নোয়াখালীতে অস্ত্রের মুখে প্রবাসীর স্ত্রীকে ধর্ষণ,1
ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতা ৪ দিনের রিমান্ডে,"অস্ত্রের মুখে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা রিমান্ডে",1
ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতা ৪ দিনের রিমান্ডে,"চাটখিলে চাচিকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",0
ধর্ষণ মামলায় গ্রেফতার সেই যুবলীগ নেতা ৪ দিনের রিমান্ডে,নোয়াখালীতে অস্ত্রের মুখে প্রবাসীর স্ত্রীকে ধর্ষণ,0
"অস্ত্রের মুখে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা রিমান্ডে",নোয়াখালীতে অস্ত্রের মুখে প্রবাসীর স্ত্রীকে ধর্ষণ,1
অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ,প্রবাসীর স্ত্রীকে ধর্ষণ: সেই যুবলীগ নেতার ঘরে মিলল পিস্তল-গুলি,0
অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ,প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ,নোয়াখালীতে আবারও ধর্ষণ: গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ,চাচিকে ধর্ষণের অভিযোগে যুবলীগ নেতা গ্রেফতার,0
প্রবাসীর স্ত্রীকে ধর্ষণ: সেই যুবলীগ নেতার ঘরে মিলল পিস্তল-গুলি,প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,1
প্রবাসীর স্ত্রীকে ধর্ষণ: সেই যুবলীগ নেতার ঘরে মিলল পিস্তল-গুলি,নোয়াখালীতে আবারও ধর্ষণ: গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,1
প্রবাসীর স্ত্রীকে ধর্ষণ: সেই যুবলীগ নেতার ঘরে মিলল পিস্তল-গুলি,চাচিকে ধর্ষণের অভিযোগে যুবলীগ নেতা গ্রেফতার,0
প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,নোয়াখালীতে আবারও ধর্ষণ: গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,1
প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,চাচিকে ধর্ষণের অভিযোগে যুবলীগ নেতা গ্রেফতার,0
নোয়াখালীতে আবারও ধর্ষণ: গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,চাচিকে ধর্ষণের অভিযোগে যুবলীগ নেতা গ্রেফতার,0
"নোয়াখালীতে ফের গৃহবধূ ধর্ষণ,যুবলীগ নেতা গ্রেপ্তার",ধর্ষণের অভিযোগে গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
"নোয়াখালীতে ফের গৃহবধূ ধর্ষণ,যুবলীগ নেতা গ্রেপ্তার","প্রবাসীর স্ত্রীকে ধর্ষণ : ধর্ষকের বাড়ি থেকে অস্ত্র,গুলি ও মাদক উদ্ধার",0
"অস্ত্রের মুখে প্রবাসীর স্ত্রীকে 'ধর্ষণ', যুবলীগ নেতা গ্রেপ্তার",নোয়াখালীতে গৃহবধু ধর্ষণ: গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,0
নোয়াখালীতে গৃহবধু ধর্ষণ: গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,ধর্ষণের অভিযোগে গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,1
নোয়াখালীতে গৃহবধু ধর্ষণ: গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,"প্রবাসীর স্ত্রীকে ধর্ষণ : ধর্ষকের বাড়ি থেকে অস্ত্র,গুলি ও মাদক উদ্ধার",1
ধর্ষণের অভিযোগে গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,"প্রবাসীর স্ত্রীকে ধর্ষণ : ধর্ষকের বাড়ি থেকে অস্ত্র,গুলি ও মাদক উদ্ধার",1
ধর্ষণ মামলায় গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,1
ধর্ষণ মামলায় গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,"নোয়াখালীতে চাচীকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",0
ধর্ষণ মামলায় গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,ধর্ষণের দায়ে গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,1
ধর্ষণ মামলায় গ্রেফতার যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,"নোয়াখালীতে চাচিকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",0
প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,"নোয়াখালীতে চাচীকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",0
প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,ধর্ষণের দায়ে গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,1
প্রবাসীর স্ত্রীকে ধর্ষণ : যুবলীগ নেতার ঘর থেকে অস্ত্র-গুলি উদ্ধার,"নোয়াখালীতে চাচিকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",0
"নোয়াখালীতে চাচীকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",ধর্ষণের দায়ে গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,0
"নোয়াখালীতে চাচীকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার","নোয়াখালীতে চাচিকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",1
ধর্ষণের দায়ে গ্রেপ্তার যুবলীগ নেতার ঘর থেকে অস্ত্র উদ্ধার,"নোয়াখালীতে চাচিকে ধর্ষণ করে নগ্ন ছবি ধারণ, যুবলীগ নেতা গ্রেফতার",0
"অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার","নোয়াখালীর চাটখিলে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",1
"অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার","ঘরে ঢুকে গৃহবধূকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",1
"অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",চাচিকে ধর্ষণ: যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
"অস্ত্রের মুখে জিম্মি করে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার","ঘরে ঢুকে গৃহবধূকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",1
"নোয়াখালীর চাটখিলে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",চাচিকে ধর্ষণ: যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
"নোয়াখালীর চাটখিলে প্রবাসীর স্ত্রীকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার","ঘরে ঢুকে গৃহবধূকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",1
"ঘরে ঢুকে গৃহবধূকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",চাচিকে ধর্ষণ: যুবলীগ নেতার বাড়ি থেকে অস্ত্র উদ্ধার,0
"ঘরে ঢুকে গৃহবধূকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার","ঘরে ঢুকে গৃহবধূকে ধর্ষণ, যুবলীগ নেতা গ্রেফতার",1
ব্যারিস্টার রফিকের অবস্থা 'ক্রিটিক্যাল',হাসপাতালে ব্যারিস্টার রফিককে দেখে এলেন ডা. জাফরুল্লাহ,0
ব্যারিস্টার রফিকের অবস্থা 'ক্রিটিক্যাল',সাবেক অ্যাটর্নি জেনারেল রফিক-উল হক লাইফ সাপোর্টে,1
ব্যারিস্টার রফিকের অবস্থা 'ক্রিটিক্যাল',ব্যারিস্টার রফিক উল হক লাইফ সাপোর্টে,1
ব্যারিস্টার রফিকের অবস্থা 'ক্রিটিক্যাল',রফিক-উল হকের অবস্থার 'বেশি একটা উন্নতি হয়নি',1
হাসপাতালে ব্যারিস্টার রফিককে দেখে এলেন ডা. জাফরুল্লাহ,সাবেক অ্যাটর্নি জেনারেল রফিক-উল হক লাইফ সাপোর্টে,0
হাসপাতালে ব্যারিস্টার রফিককে দেখে এলেন ডা. জাফরুল্লাহ,ব্যারিস্টার রফিক উল হক লাইফ সাপোর্টে,0
