sentence1,sentence2,label
এর জন্য জ্ঞান এবং বুদ্ধি থাকাও দরকার ছিল। একজন বুদ্ধিমান লোক ভেবেচিন্তে কাজ করেন ও কথা বলেন।,একজন বুদ্ধিমান লোক ভেবেচিন্তে কাজ করেন ও কথা বলেন।,1
"গোয়েন্দা বিভাগের এক কর্তা বলেন, ‘‘আমরা পরিস্থিতির উপরে নজর রাখছি।","পুলিশের এক কর্তা বলেন, ‘‘আমরা পরিস্থিতির দিকে নজর রাখছি।",1
ডিউটিতে যাচ্ছেন গাড়ির চালক।,কাঁপছেন চালকও।,1
তিনি একজন প্রাণবন্ত মানুষ ছিলেন।,ছিলেন উদ্যমী পুরুষ।,1
আবহাওয়াও মানিয়ে নেওয়া জন্য খুব কঠিন ছিল।,আবহাওয়ার সাথে খাপ খাওয়ানোটাও কঠিন।,1
অভিষেক বিয়ে করেন ঐশ্বর্য রাই বচ্চনকে।,অভিষেককে বিয়ে করেন ঐশ্বর্যা।,1
বারশিঙা,বারশিঙ্গা,1
পরে ভেন্টিলেশনে দেওয়া হয়েছিল ।,পরে ভেন্টিলেশনেও দেওয়া হয়েছিল।,1
"স্মারকগ্রন্থ, আর আমরা কখনও অন্যায়কারী নই।","স্মরণ করানোর জন্যে, এবং আমার কাজ অন্যায়াচরণ নয়।",1
ইউরোপজুড়ে বড় ধরনের জঙ্গি হামলার আশঙ্কা ইউরোপোলের,ইউরোপজুড়ে সন্ত্রাসবিরোধী অভিযান জোরদার,1
প্রথম দিন বলেই একটু ঝামেলা-ভোগান্তি হয়েছে।,শুরুর কিছুদিন খুব অসুবিধে হয়েছিল জানেন।,1
আরও পড়ুন: যেসব খাবার খেলে টাক পড়া বন্ধ হয়,আরও পড়ুন: যেসব খাবার খালি পেটে খাবেন না,1
এই নিয়েও সন্দেহ দানা বাঁধছে।,এ নিয়েও সন্দেহের জন্ম দিয়েছে।,1
এ বার তৃণমূলের সঙ্গে বিজেপি-র লড়াই হবে।,এ বার বিজেপি-র বিরুদ্ধে আরও বড় লড়াইয়ে নামব।,1
আজকেও আপিল চলছে।,বর্তমানে আবেদনটি বিবেচনাধীন।,1
"অতএব তাদের মধ্যে আছে সে যে তাঁর প্রতি ঈমান এনেছে, আবার তাদের মধ্যে সেও আছে যে তাঁর থেকে ফিরে যায়। আর জ্বলন্ত আগুনরূপে জাহান্নামই যথেষ্ট।",অতঃপর তাদের কেউ তাকে মান্য করেছে আবার কেউ তার কাছ থেকে দূরে সরে রয়েছে। বস্তুতঃ (তাদের জন্য) দোযখের শিখায়িত আগুনই যথেষ্ট।,1
তাঁর মন্তব্যের কারণে রাজনৈতিক মহলে ঝড় উঠেছিল।,তাঁর এই মন্তব্যে রীতিমতো রাজনৈতিকমহলে জোর চর্চা শুরু হয়ে গিয়েছে।,1
"""১৯৩২ সালে তিনি """""""" নামের একটি বই প্রকাশ করেন, বইটি হুগ বুগির সহযোগিতায় তার যুদ্ধের অভিজ্ঞতা নিয়ে লিখা। দ্বিতীয় বিশ্বযুদ্ধে যোগ দানের সময় বয়সের ভিত্তিতে প্রত্যাখ্যাত হয়েছিল।""","""১৯৩২ সালে তিনি """""""" নামের একটি বই প্রকাশ করেন, বইটি হুগ বুগির সহযোগিতায় তার যুদ্ধের অভিজ্ঞতা নিয়ে লিখা।""",1
শুরু হল অভিযান,যাত্রা শুরু করে,1
যা রক্ত পরীক্ষার মাধ্যমে জানা সম্ভব।,রক্তপরীক্ষার মাধ্যমেই একমাত্র তা নির্ণয় করা সম্ভব।,1
উড়িয়ে দেব।,ছুড়ে মারব ওটাকে।,1
তোমার প্রভুর অনুগ্রহে তুমি কিন্তু পাগল নও।,আপনার পালনকর্তার অনুগ্রহে আপনি উম্মাদ নন।,1
"এ ব্যাপারে তিনি বলেন, ‘শামির সঙ্গে কথা হয়েছিল।",“শামির সাথে কথা হয়েছিলো।,1
সেখান থেকে কেউ ফিরে না,এখানে আর ফেরা হবে না।,1
তাদের ব্যাংক হিসাবে টাকা পরিশোধ করা হচ্ছে।,সেই বাবদ টাকা জমা দেয় তাদের ব্যাঙ্ক অ্যাকাউন্টে।,1
ফেরাউন সে ছিল সীমালংঘনকারীদের মধ্যে শীর্ষস্থানীয়।,"ফির'আউনের থেকে। নিঃসন্দেহ সে ছিল মহাউদ্ধত, সীমালংঘনকারীদের অন্তর্ভুক্ত।",1
"এই দলটি বাম গণতান্ত্রিক ফ্রন্ট, এগারো দল এবং মহাজোটের অংশ।",এই দল বাম গণতান্ত্রিক ফ্রন্টের এবং ১১ দলের সদস্য ছিল।,1
যুক্তরাষ্ট্রে ভারতীয় দম্পতিকে গুলি করে হত্যা,আমেরিকায় খুন ভারতীয়–মার্কিন দম্পতি,1
কার্ডিনাল মর্টাটি ভ্যাটিকান সিটির একচ্ছত্র ভোট পেয়েছেন।,"কার্ডিনাল স্যাভেরো মর্টাটি, উনআশি বছর বয়সের এক প্রগতিবাদী, এইমাত্র ভ্যাটিকান সিটির পরবর্তী পোপ নির্বাচিত হলেন।",1
ভারসাম্যপূর্ণ খাদ্যাভ্যাস ভালো স্বাস্থ্যের জন্য জরুরি।,সঠিক বাসন সুস্থতার একটি মাপকাঠি।,1
আমরা কাঁধে তুলে নিয়েছিলাম তাকে।,আমরা ওকে যত্ন করে নিয়ে এসেছি।,1
সংসদেও এ নিয়ে আলোচনা হয়।,এই নিয়ে সংসদে তোলপাড়ও হয়েছিল।,1
তাই ভালো একটা লড়াই আশা করছি।,সুতরাং ম্যাচ খেলার ব্যাপারে আমি আশাবাদী।,1
আগের দিনের,আগের দিনে দেওয়া ড.,1
"এটা এজন্য যাতে আল্লাহ, সত্যবাদীদেরকে তাদের সত্যবাদিতার কারণে প্রতিদান দেন এবং ইচ্ছা করলে মুনাফেকদেরকে শাস্তি দেন অথবা ক্ষমা করেন। নিশ্চয় আল্লাহ ক্ষমাশীল, পরম দয়ালু।","যেন আল্লাহ্ পুরস্কৃত করতে পারেন সত্যপরায়ণদের তাদের সত্যনিষ্ঠার জন্যে, আর তিনি ইচ্ছা করলে মুনাফিকদের শাস্তি দিতে পারেন অথবা তাদের প্রতি ফিরতেও পারেন। নিঃসন্দেহ আল্লাহ্ পরিত্রাণকারী, অফুরন্ত ফলদাতা।",1
ব্যাডমিন্টন তারকা সাইনা নেহওয়ালকে নিয়ে তৈরি হচ্ছে বায়োপিক।,বি-টাউনে চলছে ব্যাডমিন্টন তারকা সাইনা নেহওয়ালের বায়োপিক তৈরির প্রস্তুতি।,1
এতে করে হতাহত কম হয়েছে।,এ কারণেই প্রাণহানি কম হয়েছে।,1
পুরোটাই পরিকল্পিত ভাবে সাজানো হয়েছে।,সবকিছুই হচ্ছে খুবই পরিকল্পনামতো।,1
পড়াশোনা না করলে কী হয়?,না পড়লে দিদি কি করবে?,1
"উল্লেখ্য, প্রকাশিত ওই নিবন্ধে মেহেদির ব্যবহারের বিপদ সম্পর্কে সচেতন করা হয়েছিল।",আল হারমি ঘটনার পরেই পত্রিকায় চিঠি লিখে ভুলের জন্য ক্ষমা প্রার্থনা করেন।,1
তবে আমাদের মধ্যে সম্পর্ক দারুণ।,"কিন্তু না, আমরা খুবই বন্ধুবৎসল।",1
চেক আউটের সময় কোনটা?,যাওয়ার সময়টা কখন ?,1
যেকোনো কঠিন পরিস্থিতি মোকাবেলায় সরকার প্রস্তুত রয়েছে বলে তিনি জানান।,"তাঁর দাবি, যে কোনও রকম পরিস্থিতি মোকাবিলার জন্য সরকার প্রস্তুত।",1
এবং আরও কি সব নাকি বলেছিলাম।,এবং আমি ঠিক কি বলছিলাম?,1
দু'টি উইকেট নেন ইশান্ত শর্মা।,দুটো উইকেট তুলে নেয় ইসান্ত শর্মাও।,1
এ ছাড়া জয়শঙ্কর তাঁর সফরকালে বাংলাদেশের প্রধানমন্ত্রী শেখ হাসিনা ও সরকারের কয়েকজন জ্যেষ্ঠ মন্ত্রীর সঙ্গে সৌজন্য সাক্ষাৎ করবেন।,সম্মেলনে অংশগ্রহণের পাশাপাশি বাংলাদেশ প্রধানমন্ত্রী স্বাগতিক জাপানের প্রধানমন্ত্রী শিনজো আবে এবং শ্রীলঙ্কার প্রেসিডেন্ট মাইথ্রিপালা সিরিসেনার সঙ্গে বৈঠক করবেন শেখ হাসিনা।,1
এরাই হয়ত কাশছিল।,হয়তো ওদের খায়েশ মিটে গেছে।,1
নির্বাচন হওয়া অবশ্যম্ভাবী।,বাধ্য হয়েই নির্বাচন করতে হচ্ছে।,1
তাদের কেউই এখনও প্রতিষ্ঠিত নয়।,এ দুটোর কোনোটিই এখনও পুরোপুরি অর্জিত হয় নি।,1
( ছবিগুলো দেখুন ।),তিনি যিহুদি ব্যবস্থাবেত্তা গমলীয়েলের চরণে শিক্ষা লাভ করেছিলেন।,1
ডেকে পাঠানো হয় আড়তদারকে।,প্রহরীকে ডেকে আনানো হল।,1
মাঝে মাঝে চিকিৎসকের পরামর্শ নেবেন।,তাই সব সময় ডাক্তারের সাহায্য নিন।,1
"""২০০৩ সালে তিনি টেলিভিশন চলচ্চিত্র """"দ্য লায়ন ইন উইন্টার""""-এ এলিনয় চরিত্রে অভিনয় করে একটি গোল্ডেন গ্লোব পুরস্কার অর্জন করেন।""","""১৯৯০-এর দশক জুড়ে তিনি """"রিভার্সাল অব ফরচুন"""" (১৯৯০), """"ওয়ান হানড্রেড ওয়ান ডালমাশিয়ান্স"""" (১৯৯৬), ও """"এয়ার ফোর্স ওয়ান"""" (১৯৯৭) চলচ্চিত্রে অভিনয় করে হলিউডে সফলতা অর্জন করেন।""",1
কেউ কেউ বলছেন এটা ভুয়া জিনিস।,কয়েকজন বলা ভুল হবে।,1
"কিন্তু যে কেউ তওবা করে তার অন্যায়াচরণের পরে আর সংশোধন কবে, তাহলে নিঃসন্দেহ আল্লাহ্ তার দিকে ফিরবেন। নিঃসেন্দহ আল্লাহ্ পরিত্রাণকারী, অফুরন্ত ফলদাতা।","অতঃপর যে তওবা করে স্বীয় অত্যাচারের পর এবং সংশোধিত হয়, নিশ্চয় আল্লাহ তার তওবা কবুল করেন। নিশ্চয় আল্লাহ ক্ষমাশীল, দয়ালু।",1
ভারতে পাঁচ টেস্টের সবকটিতেই অংশ নিয়ে ৪৯.০০ গড়ে ৩৪৩ রান তুলেন।,ভারতে পাঁচ টেস্টের সবকটিতেই অংশ নিয়ে ৪৯.০০ গড়ে ৩৪৩ রান তুলেন। তন্মধ্যে পঞ্চম টেস্টে ১২৩ রান তুলেছিলেন।,1
তারা আপনাকে আযাব ত্বরান্বিত করতে বলে. অথচ জাহান্নাম কাফেরদেরকে ঘেরাও করছে।,তারা তোমার কাছে শাস্তির জন্যে তাড়াহুড়ো করে। আর বস্তুত জাহান্নাম তো অবিশ্বাসীদের ঘিরেই রয়েছে।,1
এদিকে সকাল।,এই সকালবেলাতেই।,1
সেরা নবাগত অভিনেতা: ঈশান খাট্টার (ধড়ক ও বিয়ন্ড দ্য ক্লাউডস),সেরা নবাগত অভিনেতা : ঈশান খাট্টার (ধড়ক ও বিয়ন্ড দ্য ক্লাউডস),1
তাই বলুন।,তাহলে বলে ফেলো।,1
শিশু এবং বয়স্কদের আক্রান্ত হওয়ার সম্ভাবনা বেশি।,এদের মধ্যে শিশু আর বৃদ্ধের অবস্থা সব চাইতে নাজুক।,1
কিন্তু সেদিকে কর্ণপাতও করছে না দিল্লির সরকার।,তবে সতর্কতার কোনও কসুর রাখছে না দিল্লি সরকার।,1
ভোট মানেই বহু রঙ্গ।,নানা রঙের নানা মানে আছে।,1
যদিও ভারতীয় সেনা তার বিরুদ্ধে প্রবল প্রতিরোধ গড়ে তোলে।,বড় ধরনের হামলা রুখে দিল ভারতীয় সেনা।,1
"যে রকম চেয়েছিলাম, সে রকম বল করতে পারিনি।",আমি যেভাবে এটি করতে চেয়েছিলাম সেভাবে পারিনি।,1
বাবরী মসজিদ মামলার সিনিয়র বাদী হাসিম আনসারীর ইন্তিকাল,বাবরী মসজিদ মামলার সিনিয়র বাদী হাসিম আনসারী মারা গেছেন,1
"আর এই যে, তিনিই মারেন ও তিনিই বাঁচান।","এবং তিনিই মারেন ও বাঁচান,",1
"আর তুমি স্মরণ কর 'আদ-দের ভাইকে। দেখো! তিনি তাঁর স্বজাতিকে সতর্ক করেছিলেন বালুর পাহাড় অঞ্চলে, আর সতর্ককারীরা তো তাঁর আগে ও তাঁর পরে গত হয়েই ছিলেন, এই বলে -- ''আল্লাহ্ ছাড়া অন্যের উপাসনা করো না, আমি নিঃসন্দেহ তোমাদের উপরে এক ভয়ংকর দিনের শাস্তির আশংকা করছি।’’","আ’দ সম্প্রদায়ের ভাইয়ের কথা স্মরণ করুন, তার পূর্বে ও পরে অনেক সতর্ককারী গত হয়েছিল সে তার সম্প্রদায়কে বালুকাময় উচ্চ উপত্যকায় এ মর্মে সতর্ক করেছিল যে, তোমরা আল্লাহ ব্যতীত কারও এবাদত করো না। আমি তোমাদের জন্যে এক মহাদিবসের শাস্তির আশংকা করি।",1
"এরা নিজেরাই হচ্ছে প্রকৃত অবিশ্বাসী, আর আমরা অবিশ্বাসীদের জন্য তৈরি করেছি লাঞ্ঝনাদায়ক শাস্তি।","যারা আল্লাহ ও তার রসূলের প্রতি অস্বীকৃতি জ্ঞাপনকারী তদুপরি আল্লাহ ও রসূলের প্রতি বিশ্বাসে তারতম্য করতে চায় আর বলে যে, আমরা কতককে বিশ্বাস করি কিন্তু কতককে প্রত্যাখ্যান করি এবং এরই মধ্যবর্তী কোন পথ অবলম্বন করতে চায়।",1
এছাড়া হত্যাকাণ্ডে ব্যবহার করা তিনটি অস্ত্রের মধ্যে দুটি অস্ত্রও উদ্ধার করেছে পুলিশ।,খুনে ব্যবহৃত অস্ত্র দুটিও উদ্ধার করে পুলিস।,1
"শওকত আকবর, সেলিম আনছারী, জমির হোসেন, মোহাম্মদ আইয়ুব খান, মোজাম্মেল হোসেন চৌধুরী, মাহবুব খন্দকার, আজিম শিকদারসহ আরো অনেকে বক্তব্য করেন।","অন্যদের মধ্যে বক্তব্য রাখেন- আনোয়ার কবির মানিক, অধ্যক্ষ কামাল উদ্দিন মোল্লা, কফিল উদ্দিন আহমেদ, আলা উদ্দিন, আবু সৈয়দ মজুমদার, হালিম উল্যাহ মজুমদার, তৌফিকুল নোমান ও সায়েম সিকদার।",1
"উল্লেখ্য, ভারতে আপাতত করোনা আক্রান্তের মোট সংখ্যা ৯১৮ জন।",ভারতে এখন করোনা আক্রান্তের সংখ্যা ৪৮০।,1
"এর ফলে সেই বোনদের মধ্যে আ্যনি নামের এক বোনের সঙ্গে আমার পরিচয় হয়, ছাড়া পাওয়ার পর যাকে আমি বিয়ে করি। আ্যনি ও আমি যথাক্রমে ১৯৫৬ ও ১৯৫৭ সালে ছাড়া পেয়েছিলাম।",আ্যনি ও আমি যথাক্রমে ১৯৫৬ ও ১৯৫৭ সালে ছাড়া পেয়েছিলাম ।,1
আমাদের অবশ্যই সন্ত্রাসকে থামাতে হবে।,আমাদেরকে সন্ত্রাসবাদ ঠেকাতে হবে।,1
"সরকারি চাকরী যাঁরা খুঁজছেন, তাঁদের জন্য সুখবর।","যারা সরকারি কাজে ব্যস্ত থাকেন, তাদের জন্য খুব ভাল খবর আসতে চলেছে।",1
এরপর তো লোকজন রাস্তায় বেরোতেও ভয় পাবেন।,বিদেশের রাস্তা-ঘাটে থুথু ফেলতেও মানুষ ভয় পায়।,1
"লজ ৩৪১, ভারমিসা এতসব চাঞ্চল্যকর ঘটনা যে-রাতে ঘটল, তার পরেই ম্যাকমুর্দো বৃদ্ধ জ্যাকব শ্যাফটারের বাড়ি ছেড়ে দিয়ে চলে এল শহরের একদম শেষে বিধবা ম্যাকনামারার আস্তানায়।","লজ ৩৪১, ভারমিসা এতসব চাঞ্চল্যকর ঘটনা যে-রাতে ঘটল, তার পরেই ম্যাকমুর্দো বৃদ্ধ জ্যাকব শ্যাফটারের বাড়ি ছেড়ে দিয়ে চলে এল শহরের একদম শেষে বিধবা ম্যাকনামারার আস্তানায়। এর কিছুদিন পরেই ট্রেনের বন্ধু স্ক্যানল্যান চলে এল ভারমিসায়, উঠল সেই আস্তানাতেই, একসাথেই রইল দু-জনে।",1
তাপমাত্রা প্রায় মাইনাস ২ ডিগ্রি চলছে।,তাপমাত্রাও ২ ডিগ্রির আশপাশে ঘোরাফেরা করছে।,1
তোমাদের পালনকর্তা সম্বন্ধে তোমাদের এ ধারণাই তোমাদেরকে ধ্বংস করেছে। ফলে তোমরা ক্ষতিগ্রস্তদের অন্তর্ভুক্ত হয়ে গেছ।,"আর তোমাদের এমনতর ভাবনাটাই যা তোমরা ভাবতে তোমাদের প্রভু সন্বন্ধে তা-ই তোমাদের ধ্বংস করেছে, ফলে সকালসকালই তোমরা ক্ষতিগ্রস্তদের অন্তর্ভুক্ত হয়েছ।",1
এ কারণে ট্রেন ও বাস চলাচল ব্যাহত হচ্ছে।,এর ফলে কার ও মোটরসাইকেল চালকদের চলাচলে বিঘ্ন ঘটছে।,1
ডাউনলোড ব্যর্থ,ডাউনলোড ব্যর্থ হয়েছে,1
"অ্যাটর্নি জেনারেল মুকুল রোহতগি যুক্তি দেন, কাউকেই শীর্ষ আদালতের দ্বারস্থ হতে বাধা দেওয়া যায় না।","কেন্দ্রীয় সরকারের তরফে অ্যাটর্নি জেনারেল মুকুল রোহতগি এর প্রবল বিরোধিতা করে যুক্তি দেন, কাউকেই শীর্ষ আদালতের দ্বারস্থ হতে বাধা দেওয়া যায় না।",1
"এই অভিযান আমি আমার শ্রমিক ভাই-বোনদের, আমাদের গ্রামে বসবাসকারী নবীন প্রজন্মের বোন ও কন্যাদের সমর্পণ করছি।","এই অভিযান আমাদের শ্রমিক ভাইবোন, যুবসম্প্রদায়, বোন ও কন্যাদের জন্য উৎসর্গ করা হ’ল।",1
তাঁর ফেরার সময় হয়ে গিয়েছে।,তার রানে ফেরা সময়ের ব্যাপার।,1
সেসব দেশের স্বাস্থ্য মন্ত্রণালয়ের সঙ্গে আমাদেরও যোগাযোগ হচ্ছে।,স্বাস্থ্য দফতরের সঙ্গেও যোগাযোগ রাখছি আমরা।,1
তবে এখনও তঁার পদ বণ্টন হয়নি‌।,তবে এখনো বরাদ্দ পাওয়া যায়নি।,1
"অতঃপর যদি তারা ফিরে যায় তাহলে বলো -- ''আল্লাহ্ আমার জন্যে যথেষ্ট, তিনি ব্যতীত অন্য উপাস্য নেই, তাঁরই উপরে আমি নির্ভর করি, আর তিনিই তো মহাসিংহাসনের অধিপতি।’’","এ সত্ত্বেও যদি তারা বিমুখ হয়ে থাকে, তবে বলে দাও, আল্লাহই আমার জন্য যথেষ্ট, তিনি ব্যতীত আর কারো বন্দেগী নেই। আমি তাঁরই ভরসা করি এবং তিনিই মহান আরশের অধিপতি।",1
"""""""--- ক্ষয়ক্ষতি: আনুমানিক মানুষ ১,২০০ জন এবং গবাদিপশু ২০,০০০। --- ক্ষয়ক্ষতি: মানুষ ৮৭০ জন এবং ১৪,৫০০ গবাদি পশু।""""""","""""""--- ক্ষয়ক্ষতি: ৬৯৮ জন মানুষ ও ৭০,৬৫৪ গবাদি পশু মারা যায়।""""""",1
"কিন্তু দর্শনার্থীদের সতর্ক হওয়ার আরও অন্যান্য কারণ রয়েছে, বিশেষ করে যখন তারা মৃত্যু উপত্যকায় (ভ্যালি অভ্ ডেথ) যায়, যেটা কিখপিনিচ আগ্নেয়গিরির পাদদেশে অবস্থিত।","সেই একই এলাকায় ভ্যালি অভ্‌ গাইজারস্‌ রয়েছে, যা ১৯৪১ সালে আবিষ্কৃত হয়েছে ।",1
কার স্বাধীনতা?,স্বাধীনতা কার?,1
খুশব জেলা () পাকিস্তানের পাঞ্জাব প্রদেশে অবস্থিত একটি জেলা।,হাফিজাবাদ জেলা (পাঞ্জাবি এবং উর্দু: ضلع حافظ آباد ‎‎) পাকিস্তানের পাঞ্জাব প্রদেশে অবস্থিত একটি অন্যতম জেলা।,1
প্রতিবেশীরাই তাকে উদ্ধার করে স্থানীয় একটি হাসপাতালে নিয়ে যায়।,গুরুতর জখম অবস্থায় প্রতিবেশীরা তাঁকে উদ্ধার করে হাসপাতালে ভর্তি করান।,1
দক্ষিণ আমেরিকার দক্ষিণাঞ্চল.,উত্তর আমেরিকান.,1
"” “না, কেউ হয় না, এমনি খুব ভাব আছে ।","“না, না, সে রকম কিছুই নয়।",1
তারপরও আমাদের সাধ্যমতো অভিযান অব্যাহত রয়েছে।,তারপরেও আমরা মামলার কার্যক্রম চালিয়েছি।,1
এ ছাড়াও অন্যদের প্রাথমিক চিকিৎসা দিয়ে ছেড়ে দেওয়া হয়েছে।,অন্যরা প্রাথমিক চিকিৎসা নিয়ে হাসপাতাল ছেড়েছেন।,1
পরিবার মানুষের প্রথম শিক্ষালয়।,সমাজের একেবারে প্রাথমিক স্তর হচ্ছে পরিবার।,1
আপনাদের প্রতি কৃতজ্ঞতা।,তোমার প্রতি ধন্যবাদ।,1
কিন্তু তা একেবারেই ব্যবহার করছিল না তারা।,তবে সেগুলোর একটিও কাজে লাগাতে পারেনি দলটি।,1
মোটামুটি মানসিকভাবে আমরা প্রস্তুতি নিয়ে আছি।,মোটামুটি আমরা ভালো প্রস্তুতি নিয়েই যাচ্ছি।,1
ইচ্ছা না করলেও যেতে হবে।,ইচ্ছা না করলেও তোমাকে যেতে হবে।,1
এই বলেই থেমে থাকেননি তিনি।,এই কথা বলেই ক্ষান্ত হননি তিনি।,1
যার মধ্যে লোকসভা ভোটের নিরিখে .,বাকিরা হলেন লোকসভার .,1
"স্মরণ করুণ, ইসমাঈল, আল ইয়াসা ও যুলকিফলের কথা। তারা প্রত্যেকেই গুনীজন।","আর স্মরণ কর ইসমাইল ও ইয়াসাআ ও যুল-কিফলকে, কারণ তাঁরা সবাই ছিলেন সজ্জনদের অন্যতম।",1
"তখন সেটি কিন্তু একটিমাত্র মহাগর্জন হবে, তখন দেখো! তারা চেয়ে থাকবে।",বস্তুতঃ সে উত্থান হবে একটি বিকট শব্দ মাত্র-যখন তারা প্রত্যক্ষ করতে থাকবে।,1
তিন জনকে চিকিৎসার পরে ছেড়ে দেওয়া হয়েছে।,প্রাথমিক চিকিৎসার পরে তিনজনকেই ছেড়ে দেওয়া হয়েছে।,1
এর পর পুলিসও বাড়ির লোকেদের সঙ্গে যোগাযোগ করে।,পরে পুলিশের তরফ থেকে ওই ব্যক্তির বাড়ির লোকজনের সঙ্গে যোগাযোগ করা হয়েছে।,1
"অতঃপর তিনি তা তাদের কাছে পাঠ করতেন, তবে তারা তাতে বিশ্বাস স্থাপন করত না।","আর সে এটি তাদের কাছে পাঠ করত, তাহলে তারা তাতে বিশ্বাসভাজন হতো না।",1
উপায়ও ছিল না তাদের সামনে।,তারা রাস্তায় দাঁড়ায়‌নি।,1
মেয়ে ও তিনি মারা গেলেও বেঁচে গিয়েছেন স্ত্রী।,মৃত্যুকালে স্ত্রী ও এক মেয়ে রেখে গেছেন গৌতম দে।,1
আপনি -র জন্য প্রতিনিধি হিসেবে নির্ধারিত,আপনাকে -এর প্রতিনিধি রূপে চিহ্নিত করা হয়েছে,1
বাছাই করা ফাইল (_S),বাছাই করা ফাইল (_ব),1
"আমি শপথ করি কেয়ামত দিবসের,","না, আমি শপথ করছি কিয়ামতের দিনের।",1
সেখানে অন্তত আমি আমার মতো।,আমি যেন অন্তত আমি হই।,1
বৈধ পাসপোর্ট এবং ভিসা ছাড়া ভারতে ঢুকেছিল তারা।,বৈধ ভিসা নিয়েই সে ভারতে আসে।,1
"আমেরিকা, বিশ্বের অসীম শক্তিধর পরাশক্তি।",তখন বিশ্বের একমাত্র পরাশক্তি ছিল মার্কিন যুক্তরাষ্ট্র।,1
রণবীর সিংয়ের কেরিয়ারে এটাই সর্বোচ্চ ওপেনিং।,যা কিনা রণবীর সিংয়ের কেরিয়ারের প্রথম কোনও ছবি যার ওপেনিংয়ে এত মোটা টাকা মিলল।,1
জিজ্ঞাসাবাদে তারা ছিনতাইয়ে জড়িত থাকার কথা স্বীকার করেছে।,জিজ্ঞাসাবাদে তারা ছিনতাইয়ের সঙ্গে জড়িত থাকার কথা স্বীকার করে।,1
কিন্তু এখনও কাজ পায়নি।,তবে এখনো সফল হয়নি।,1
কিন্তু তার পরিবারের লোকজনকে সেখানে পাওয়া যায়নি।,তাঁদের পরিবারও কোনও খোঁজ পাননি।,1
)-কে নিজ জীবনের চেয়েও বেশি ভালোবাসতেন।,আমি প্রচেতাকে আমার প্রাণের চেয়েও অনেক বেশি ভালোবাসি।,1
আমি ইংরেজীতে তাকে ব্যাখ্যা করে দিলাম।,ওকে ইংরেজিও শিখিয়ে দেব আমি।,1
তোমাদের জন্যে চতুস্পদ জন্তুদের মধ্যে চিন্তা করার অবকাশ রয়েছে। আমি তোমাদেরকে পান করাই তাদের উদরস্থিত বস্তুসমুহের মধ্যে থেকে গোবর ও রক্ত নিঃসৃত দুগ্ধ যা পানকারীদের জন্যে উপাদেয়।,"আর নিঃসন্দেহ গবাদি-পশুর মধ্যে তোমাদের জন্য তো শিক্ষণীয় বিষয় রয়েছে। আমরা তোমাদের পান করাই যা রয়েছে তাদের পেটের মধ্যে -- গোবর ও রক্তের মধ্যে থেকে -- খাঁটি দুধ, পানকারীদের জন্য সুস্বাদু।",1
ধীরে ধীরে হাত দেওয়া হবে অন্যান্য জায়গাতেও।,ক্রমে ক্রমে অন্যত্রও তা চালু হবে।,1
